Quel est le résultat de la convolution de deux signaux sinusoïdaux de fréquences différentes ?,Un signal sinusoïdal de même fréquence,Un signal sinusoïdal de fréquence différente,Un signal périodique composé,Un signal aléatoire,Un signal périodique composé,none
Comment obtenir la transformée de Fourier d'un signal audio en Python ?,np.fft.fft(signal),scipy.fft.fft(signal),librosa.fft(signal),signal.fft(signal),np.fft.fft(signal),none
Quelle est la structure d'une image RGB en numpy ?,Tableau 3D (hauteur, largeur, canaux),Tableau 2D (hauteur, largeur),Tableau 4D (hauteur, largeur, canaux, alpha),Tableau 1D (pixels),Tableau 3D (hauteur, largeur, canaux),none
Complétez le code pour normaliser une image,image / 255.0,image / image.max(),image.astype(float) / 255,image / image.mean(),image / 255.0,https://i.postimg.cc/59n7KPsT/1.png
Que représente la fréquence d'échantillonnage dans un signal audio ?,Le nombre de points par seconde,La durée du signal,La résolution du signal,La fréquence maximale du signal,Le nombre de points par seconde,none
Comment compresser une image en utilisant la DCT ?,Appliquer la DCT puis quantifier les coefficients,Appliquer la quantification puis la DCT,Appliquer la DCT sans quantification,Appliquer la quantification sans DCT,Appliquer la DCT puis quantifier les coefficients,none
Que fait un filtre gaussien sur une image ?,Réduit le bruit en moyennant les pixels voisins,Amplifie les contours de l'image,Change les couleurs de l'image,Inverse les contrastes,Réduit le bruit en moyennant les pixels voisins,none
Comment standardiser une variable ?,Soustraire la moyenne et diviser par l'écart-type,Ajouter la moyenne et multiplier par l'écart-type,Soustraire l'écart-type et diviser par la moyenne,Ajouter l'écart-type et multiplier par la moyenne,Soustraire la moyenne et diviser par l'écart-type,none
Complétez le code pour normaliser un signal audio,signal / np.max(np.abs(signal)),signal / signal.max(),signal / np.abs(signal).max(),signal / signal.abs().max(),signal / np.max(np.abs(signal)),https://i.postimg.cc/vHTPJWjB/2.png
Que représente le spectrogramme d'un signal audio ?,La répartition des fréquences dans le temps,La répartition des amplitudes dans le temps,La transformée de Fourier du signal,L'évolution des fréquences dans le temps,La répartition des fréquences dans le temps,none
Quel est l'avantage de l'échelle Mel pour l'analyse audio ?,Elle correspond mieux à la perception humaine,Elle est linéaire,Elle est logarithmique,Elle est exponentielle,Elle correspond mieux à la perception humaine,none
Quel est l'objectif principal du théorème de Nyquist-Shannon ?,Déterminer la fréquence maximale d'échantillonnage,Reconstruction parfaite d'un signal échantillonné,Compression sans perte,Détecter le bruit dans un signal,Reconstruction parfaite d'un signal échantillonné,none
Quelle propriété importante de la transformée de Fourier est utilisée dans la convolution ?,Le produit de convolution devient un produit point par point,La transformée inverse annule la transformée directe,Le spectre est symétrique,Elle est linéaire,Le produit de convolution devient un produit point par point,none
Comment est calculé un spectrogramme ?,Par fenêtre de transformée de Fourier successive,Par simple transformée de Fourier,Par transformation en cosinus discrète,Par filtrage passe-bas,Par fenêtre de transformée de Fourier successive,none
Dans kNN, que représente le paramètre k ?,Le nombre de voisins considérés,Le nombre de classes,Le poids des points,Le seuil de classification,Le nombre de voisins considérés,none
Quel est le rôle du codage Huffman en compression ?,Réduire la taille des données en codant les symboles fréquents avec peu de bits,Coder les images en JPEG,Augmenter la qualité sonore,Coder la fréquence d’échantillonnage,Réduire la taille des données en codant les symboles fréquents avec peu de bits,none
Comment s’appelle le modèle de couleur basé sur la luminance et deux composantes chromatiques ?,YUV,RGB,HSV,CMYK,YUV,none
Quel est l’avantage principal de la transformée en cosinus discrète (DCT) en compression ?,Meilleure concentration de l’énergie,Compression sans perte,Moins de calculs,Reconstruction parfaite,Meilleure concentration de l’énergie,none
Quel algorithme est utilisé pour la partition des données en k-means ?,Itératif basé sur la minimisation de la distance intra-classe,Descente de gradient,Recherche exhaustive,Méthode des moindres carrés,Itératif basé sur la minimisation de la distance intra-classe,none
Quelle est la différence entre standardisation et normalisation ?,Standardisation centre et réduit, normalisation borne entre 0 et 1,Les deux sont synonymes,Standardisation borne entre 0 et 1, normalisation centre et réduit,Standardisation centre et réduit, normalisation borne entre 0 et 1,none
Quel format de fichier audio est sans perte ?,WAV,MP3,FLAC,OGG,FLAC,none
Comment appelle-t-on l’algorithme qui construit un arbre pour accélérer la recherche des plus proches voisins ?,Kd-tree,Arbre binaire,Arbre rouge-noir,Arbre AVL,Kd-tree,none
Quelle est la propriété d’un signal périodique dans son spectre ?,Spectre en raies,Spectre continu,Spectre bruité,Spectre uniforme,Spectre en raies,none
Quel est le but de la fonction de coût en régression logistique ?,Mesurer l’erreur entre prédictions et vraies valeurs,Calculer la moyenne,Estimer la variance,Déterminer la classe,Mesurer l’erreur entre prédictions et vraies valeurs,none
Quelle méthode de descente est utilisée pour entraîner une régression logistique ?,Descente de gradient,Descente stochastique,Monte Carlo,Méthode du gradient conjugué,Descente de gradient,none
Que fait ce code de classification après extraction de caractéristiques ?,Classifie chaque trame audio sur ses MFCCs,Extrait les pitchs puis les regroupe,Utilise une régression linéaire pour prédire des fréquences,Transforme les labels en MFCCs,Classifie chaque trame audio sur ses MFCCs,https://i.postimg.cc/X7P24rSg/3.png
Quel code produit une réduction de dimension par ACP adaptée à des vecteurs audio MFCC ?,PCA(n_components=2).fit_transform(X),PCA(n_components=2).fit(X).transform(y),PCA(n_components=2).transform(X),PCA.fit_transform(X, y),PCA(n_components=2).fit_transform(X),none
Quel est le résultat de ce code : np.dot([1, 2, 3], [4, 5, 6])?,32,[4, 10, 18],[1, 2, 3, 4, 5, 6],[14],32,none
Quel est le rôle du paramètre axis=0 dans np.mean(array, axis=0) ?,Moyenne selon les lignes,Moyenne selon les colonnes,Moyenne globale,Réduction du tableau,Moyenne selon les colonnes,none
Quel est le résultat de : np.argmax(np.array([[1,3],[7,2]]), axis=0) ?,[1 0],[0 1],[1 1],[0 0],[1 0],none
Que retourne ce code ? np.sum(image[image > 200]) sur une image en niveaux de gris ?,La somme des pixels très clairs,La moyenne des pixels clairs,Le nombre de pixels > 200,Le pixel le plus lumineux,La somme des pixels très clairs,none
En appliquant un codage d'Huffman sur la chaîne "le fou se croit sage et le sage se reconnait fou", quelle peut être la longueur du code obtenu pour la lettre e ?,1 ou 2,2 ou 3,3 ou 4,2 ou 3,none
En appliquant un codage d'Huffman sur la chaîne "il faut manger pour vivre et non pas vivre pour manger", quelle peut être la longueur du code obtenu pour la lettre e ?,1 ou 2,2 ou 3,3 ou 4,3 ou 4,none
